GX,GY,GZ,AX,AY,AZ
-0.080492,-0.022154,-0.133415,0.062214,-0.025956,1.001793
-0.049723,-0.052923,-0.164185,0.06197,-0.025712,1.002526
-0.049723,-0.052923,-0.164185,0.062214,-0.025712,1.001549
-0.049723,-0.052923,-0.164185,0.061726,-0.025224,1.000573
-0.049723,-0.052923,-0.164185,0.06197,-0.024736,0.999352
-0.049723,-0.052923,-0.133415,0.062214,-0.024736,0.998864
-0.080492,-0.052923,-0.133415,0.062458,-0.024736,0.99862
-0.080492,-0.052923,-0.133415,0.062702,-0.024491,0.998864
-0.111262,-0.083692,-0.133415,0.063191,-0.023759,0.999352
-0.142031,-0.083692,-0.102646,0.063679,-0.023759,0.999352
-0.142031,-0.083692,-0.102646,0.063679,-0.023515,0.999596
-0.142031,-0.052923,-0.133415,0.063923,-0.023515,1.000329
-0.142031,-0.052923,-0.133415,0.064411,-0.023515,1.000573
-0.142031,-0.052923,-0.133415,0.064167,-0.023027,1.000573
-0.142031,-0.052923,-0.133415,0.063923,-0.022782,1.000329
-0.142031,-0.052923,-0.133415,0.063435,-0.023271,1.000084
-0.142031,-0.052923,-0.133415,0.062946,-0.023515,0.999596
-0.142031,-0.052923,-0.164185,0.062702,-0.023515,0.999108
-0.1728,-0.022154,-0.164185,0.062702,-0.023515,0.998864
-0.1728,0.008615,-0.164185,0.062214,-0.023759,0.999352
-0.142031,0.008615,-0.164185,0.061726,-0.023271,0.999108
-0.142031,0.039385,-0.164185,0.06197,-0.022782,0.999108
-0.142031,0.039385,-0.164185,0.06197,-0.022538,0.999108
-0.1728,0.008615,-0.133415,0.061726,-0.021806,0.999108
-0.1728,0.008615,-0.133415,0.060993,-0.02205,0.99862
-0.203569,0.008615,-0.133415,0.060993,-0.022294,0.999108
-0.234338,0.008615,-0.133415,0.061482,-0.022782,0.999596
-0.203569,0.039385,-0.133415,0.061726,-0.023271,1.000084
-0.203569,0.070154,-0.133415,0.06197,-0.024003,1.000084
-0.234338,0.039385,-0.133415,0.062214,-0.023515,1.000084
-0.234338,0.039385,-0.133415,0.062458,-0.023759,1.000329
