GX,GY,GZ,AX,AY,AZ
2.688738,2.131692,-0.871877,0.073445,0.007003,1.016442
-2.757415,-1.899077,0.081969,0.084919,-0.008866,0.993981
1.334892,1.516308,0.020431,0.055622,-0.035478,1.005211
-0.634338,0.316308,-0.841108,0.06197,0.013839,0.996178
0.073354,-0.637538,0.081969,0.101521,-0.018144,0.994713
1.365662,0.100923,-1.087262,0.063679,-0.001542,0.983727
-1.218954,-0.606769,0.358892,0.071003,-0.006181,1.004479
1.273354,0.254769,-0.287262,0.089802,-0.0179,0.995202
-0.357415,0.777846,-0.379569,0.053913,-0.01912,0.989098
0.288738,-0.914462,0.0512,0.091267,0.011886,1.008873
0.873354,-0.329846,-0.533415,0.082234,-0.013261,0.997399
-0.603569,0.931692,-0.3488,0.073445,0.007735,1.018151
0.2272,-0.760615,-0.041108,0.08028,8.99E-4,1.005455
0.165662,0.316308,-0.3488,0.087116,-0.01912,0.996422
0.996431,0.162462,-0.656492,0.063679,-0.004472,1.009118
-0.942031,-0.945231,0.020431,0.087116,-0.007157,0.98983
1.273354,0.747077,-0.287262,0.091267,-0.028154,0.991784
-0.788185,0.131692,-0.194954,0.069782,0.001876,1.004967
0.319508,-0.606769,-0.164185,0.083698,-0.011552,0.984704
0.381046,0.070154,0.0512,0.054157,-0.024247,0.98983
0.534892,0.747077,-0.533415,0.085652,-0.001786,0.985924
-0.1728,-1.068308,-0.041108,0.060017,-0.01082,0.987145
-2.603569,0.408615,-0.010338,0.082722,-0.015214,0.988366
1.8272,-0.052923,-0.533415,0.089558,-0.002763,1.000573
1.181046,1.977846,0.112738,0.075154,0.013106,1.003258
-3.3728,-2.145231,-0.7488,0.055134,-0.012284,1.0057
1.242585,0.377846,0.512738,0.095173,-0.018876,0.999596
4.134892,0.685538,-0.779569,0.074421,-0.007646,0.988366
-2.418954,-0.729846,0.081969,0.067097,0.010177,0.99569
0.011815,-0.791385,-0.133415,0.094196,-0.023271,0.993493
1.181046,1.762462,-0.471877,0.066853,-0.014237,0.99862
-0.326646,-0.699077,-0.318031,0.061237,-0.004472,0.987877
-0.1728,-0.145231,0.112738,0.070759,-0.023515,0.98568
-0.695877,-0.329846,0.266585,0.070027,-0.016679,1.000817
1.857969,1.300923,-0.7488,0.084675,-0.005937,0.993981
-2.049723,-0.945231,0.020431,0.081013,-0.012284,0.990075
0.719508,-0.514462,-0.441108,0.073689,-0.003007,1.000817
1.857969,1.147077,-0.287262,0.073689,0.009444,0.998864
-2.388185,-0.637538,0.112738,0.071003,-0.016435,0.994957
1.304123,-0.791385,-0.256492,0.077351,-0.009355,1.008385
1.057969,0.131692,0.0512,0.078083,-0.018388,0.98153
0.042585,-0.052923,-0.194954,0.079304,0.008956,0.993004
-0.911262,-0.483692,-0.194954,0.090779,-0.008622,1.003258
-0.665108,0.193231,-0.102646,0.079304,-0.01082,1.004479
2.257969,-0.699077,-0.164185,0.084919,-0.026933,0.990319
1.581046,3.177846,-0.779569,0.073689,-3.21E-4,0.982018
-0.142031,-2.268308,0.4512,0.06612,0.003585,1.003258
0.257969,1.824,-0.471877,0.066364,-0.003495,1.006432
0.104123,-0.545231,-0.225723,0.090779,0.005538,0.998864
-0.757415,0.254769,0.266585,0.072956,-0.016191,1.013756
0.934892,0.562462,-0.379569,0.072956,-0.008866,0.994225
-0.634338,-0.945231,-0.318031,0.077351,-0.004716,0.988366
0.996431,0.316308,-0.010338,0.09029,-0.018632,0.985192
0.811815,-0.452923,-0.410338,0.073933,0.011641,0.991051
-0.911262,0.593231,-0.041108,0.083943,-0.014482,0.994225
0.288738,0.008615,-0.533415,0.078816,-0.009843,1.010338
0.934892,0.839385,-0.594954,0.073445,0.001876,1.003502
-1.342031,0.347077,0.4512,0.074909,-0.012284,0.988854
0.688738,-0.452923,-0.533415,0.060749,-0.016923,1.013268
0.073354,0.285538,-0.071877,0.089314,-0.009843,0.993493
